comment,star
苦瓜難吃,1
真的很鹹,2
德國香腸沒有太好吃, 3
番茄真的太棒了,5
沒有比較沒有傷害啊！！！！,1
服務態度極差,1
曾經是愛店，好吃口味堪稱金山街最佳便當店。但如今已又油又鹹，至少3-4次都這樣了！下次想吃燒臘會換別家買。希望有天回心轉意再給你們機會時已經改進。,2
分量少的可憐，現場客人跟外送亂七八糟，把現場客人當白癡晾在一邊,1
真的是滿誇張的價格主菜有點過少一份95元油雞跟燒肉，,2
油雞是蠻不錯的但是骨頭偏多的雞肉,3
燒肉的鹽巴太多像是在嘴巴有一包鹽巴炸裂。,1
"配菜鹹，飯難吃,主餐粉超多，很難得有這麼難吃的便當",1
一個老阿婆建議你退休在家養老態度有夠差,1
剛開店什麼都做的不錯也好吃，但是開店到現在也沒多久時間素質也掉太多了，東西變不好吃了就連衛生我都覺得恐怖，請問一下東西掉旁邊用手抓，主菜上便當盒也用手抓，用手抓我可以接受阿但是妳剛剛拿了錢拿了菜刀還抓了黃到不行的抹布，難道用手套很難嗎？看到這樣一點胃口都沒了,1
叫外送買兩份燒鴨&燒肉便當一份正確、一份是油雞吃的很痛苦，因為一點都不喜歡吃油雞希望下次店家可以出餐時檢查餐點內容是否正確便當味道偏重主菜偏少價格不實惠,1
老闆態度不是很好，點個油雞飯一直問我是不是要油雞腿，點個配菜用指的也是很不耐煩說講號碼，找錢也是用丟的在桌上，下次不會再買,1
前二週去吃過一次點了燒鴨飯醬汁真的有鹹，重點是切燒鴨沒戴手套直接用手抓了燒鴨，然後放入了我的便當內，這衛生真的不行誰知道你剛摸過什麼，做吃的衛生不行真的就無法了。,1
比寶山店貴，主菜也給比較少。住金山街，燒臘便當果然只有浩記還可以。,1
外送訂單一堆也不延遲，讓一堆司機在店裡空等！人手不足就別接那麼多單，浪費大家時間,1
店員對客人的態度很不好，店員還在打飯還沒打菜就急著問哪幾樣菜，那時我在算零錢，跟店員說等一下，結果店員竟然馬上回:說話啊，讓人覺得來買東西好像欠他一樣，店員態度需再加強!,1
點餐等很久結果是沒送單出去==,1
剛菜掉在桌上，店員居然用他的手把菜撿起來，重新放在我的便當，真的超噁、超傻眼！不會再去！,1
熊貓外送單的的備餐速度太慢了，大概等了20分鐘，司機才開始送，餓都餓死啦，不會再光臨,1
Uber外送延遲就算了，便當配菜竟然是冰的,1
一看就知道都是先做外面公司訂的便當肉都沒了還硬切一小塊肉給客人.,2
配菜選擇超級少！而且看起來還很敷衍，豆芽菜，菜脯那類的，而且像隔餐的，看了就沒什麼食慾。,2
小菜好鹹...買給家裡人都說很鹹....有待加強,2
爛透了，外送沒有按照時間，一拖再拖,1
飯裡有毛髮，整個感覺很差。,2
阿伯夾完菜夾子用丟的看了就不高興,1
老闆直接咳嗽到食物上超級噁心,1
人力不足等三十分鐘,1
份量少又貴餒,1
真的很鹹,2
沒有比較沒有傷害啊！！！！,1
服務態度極差,1
口味：不知道是我口高了，還是這家真不怎麼樣。 我感覺口味確實很一般很一般。上菜相當快，我敢說菜都是提前做好的。幾乎都不熱。菜品：酸湯肥牛，幹辣幹辣的，還有一股泡椒味。著實受不了。。。環境：室內整體裝修確實不錯，但是大廳人多，太亂。服務：一般吧。說不上好，但是也不差。價格：一般，大眾價格，都能接受。人：太多了，排隊很厲害。以後不排隊也許還會來（比如早去路過），排隊就不值了。票據：六日沒票！告我週一到週五可能有票~~~ 相當不正規，在這一點同等價位遠不如外婆家。,2
菜品豐富質量好，服務也不錯！很喜歡！,4
說真的，不曉得有人排隊的理由，香精香精香精香精，拜拜！,2
菜量實惠，上菜還算比較快，疙瘩湯喝出了秋日的暖意，燒茄子吃出了大阪燒的味道，想吃土豆片也是口感綿軟停不下來，都是下飯好菜。唯一不足就是，鍋包肉的麵糊太厚了，略油膩。有機會再來。,5
先說我算是娜娜家風荷園開業就一直在這裡吃 每次出去回來總想吃一回 有時覺得外面的西式簡餐總是不如天津的某些家和我口味 畢竟有地區差異 但是這家店是第一次去 因為朋友要去的 以前都去別家娜娜 先說1點多20左右到的 但是還是需要等位子的 得知2點鐘閉餐 下午只有下午茶 然後還沒說話了 門口的小哥就被告知什麼我也不知道能等多久 也許是好幾桌一起走 也許是一直坐著不走 請問 我有問嗎 我只是很客氣的問問是不是2點閉餐就不能做主食了 您了巴拉巴拉的跟我說這麼多幹什麼 要不是我朋友點的地方 我肯定走 然後到了位子 知道您家的安排是無論幾人輪到什麼桌子都可以坐 比如2人坐8人位也可以 但是到我們明明有稍大一點的桌子 還是給我們左手邊最小的小咖啡桌 經過協商才換的窗邊的座位 因為我要意麵鬆餅 沙拉 薯泥什麼的主食菜品小咖啡桌也不好放開 還好畢竟後面的服務人員都還可以,4
菜很好吃 環境也不錯   值得推薦！！！！！！！！！！！！！！,5
很喜歡的餐廳，東北風味兒，以後還會再去！,4
口味屬於家常菜一類，價格有點小貴，逛街的時候吃吃還可以。,4
最近太忙了，估計要暫時告別大眾點評一段時間了。這條應該是這個月的最後一條點評了，全五星好評。在天津連續下雨的某日，我和實驗室兩人來到了南開區的大悅城，直奔網紅店小吊梨湯。果然，排隊得人不多了（以往不排隊個半小時至一小時根本吃不上）。大廳基本已經坐滿，我們到了一個小的隔間裡面，隔間裡面四張桌子。待我們看過菜單之後才知道這家和天津老碼頭、南京大牌檔之類的館子很相似，都是以販賣各種精緻小吃為主，分量不大（一部分分量也很大），但是味道很不錯。具體菜品就不多做介紹了，我們也是按照大眾點評推薦的前幾個點的，實話實說真的是味道不錯，大夥有興趣可以試試。這裡服務很好，服務員熱情而有禮貌，效率較高。給大家提醒下，平常來吃的話一定早排隊。最後希望這段時間的努力能夠助我走向理想的地方！！,5
我去了一次感覺喜歡上了這，無論環境還有菜品在自助餐裡已經是很不錯了,5
10點半點的餐，12點還沒下單，這速度也是醉了。,2
味道還可以,3
德國香腸沒有太好吃,2
焗土豆和檸檬雞還是推薦的。,4
兩個人吃沒點太多，要了一份手抓餅當主食，沒仔細看菜單，以為手抓餅是鹹口的了🤣結果太甜了，油還有點大。當時特別想吃炸鮮奶那類的甜食，就要了一份椰香南瓜什麼的，菜一上來好大的麵包片，裡面夾了一點南瓜，外面還擠了一些醬，這個醬有點酸不好吃，一人吃了一塊就沒動。老醋雜拌一般，有點漿漿糊糊的。還要了一份鐵板茄夾，茄子太薄了，其實是想吃茄子，倒吃了一口肉餡,4
很一般   地點好真的很重要    不是很推薦,2
